"","Address","longitude","latitude","Type1","Type2","Type3","Value","Icon"
"39","1010 3 AVENUE , New York",-73.9663128,40.7625094,"Rent","R9  -CONDOPS",NA,51.57,"Rent"
"40","102 BRADHURST AVENUE , New York",-73.9415389,40.8247564,"Rent","R9  -CONDOPS",NA,26.74,"Rent"
"41","102 FULTON STREET , New York",-74.0068304,40.7095581,"Rent","R4  -ELEVATOR",NA,40.59,"Rent"
"42","102 MADISON STREET , New York",-73.995422,40.7120545,"Rent","R4  -ELEVATOR",NA,49.22,"Rent"
"43","102 WEST 75 STREET , New York",-73.9778147,40.7792483,"Rent","R9  -CONDOPS",NA,43.19,"Rent"
"44","103 AVENUE A , New York",-73.9838781,40.7258509,"Rent","R4  -ELEVATOR",NA,56.53,"Rent"
"45","103 EAST 86 STREET , New York",-73.9565096,40.7801118,"Rent","D6  -ELEVATOR",NA,54.23,"Rent"
"46","103 WEST 25 STREET , New York",-73.9921732,40.7444737,"Rent","D6  -ELEVATOR",NA,57.12,"Rent"
"47","103 WEST 80 STREET , New York",-73.9753582,40.7830462,"Rent","C1  -WALK-UP",NA,41.65,"Rent"
"48","103 WEST 89 STREET , New York",-73.971177,40.7888189,"Rent","R4  -ELEVATOR",NA,42.33,"Rent"
"49","1031 6 AVENUE , New York",-73.986027,40.7525199,"Rent","R4  -ELEVATOR",NA,59.16,"Rent"
"50","1036 LEXINGTON AVENUE , New York",-73.961397,40.77197,"Rent","R9  -CONDOPS",NA,49.56,"Rent"
"51","104 CHARLTON STREET , New York",-74.0082765,40.7272004,"Rent","R4  -ELEVATOR",NA,38.35,"Rent"
"52","104 EAST 81 STREET , New York",NA,NA,"Rent","D1  -ELEVATOR",NA,48.0566666666667,"Rent"
"53","104 HUDSON STREET , New York",-74.0086966,40.7193308,"Rent","R4  -ELEVATOR",NA,36.39,"Rent"
"54","104 PERRY STREET , New York",-74.0055679,40.7350409,"Rent","C4  -WALK-UP",NA,42.92,"Rent"
"55","104 READE STREET , New York",-74.0082765,40.7159237,"Rent","R4  -ELEVATOR",NA,39.43,"Rent"
