"","X.1","X","longitude","latitude","Type1","Type2","Type3","Value","Icon","Remark","Zipcode","crime","mean","area"
"1",1,1,-73.9948023,40.7266224,"Rent","R4  -ELEVATOR",NA,35.24,"Rent","1 BOND STREET , New York",10012,782,49.2700310481868,"Greenwich Village and Soho"
"2",2,2,-73.9816255,40.7690255,"Rent","R4  -ELEVATOR",NA,54.35,"Rent","1 CENTRAL PARK WEST , New York",10023,374,48.0819509939898,"Upper West Side"
"3",3,3,-73.983485,40.74901,"Rent","RR  -CONRENT",NA,47.21,"Rent","1 EAST 35 STREET , New York",10016,900,50.4251235766046,"Gramercy Park and Murray Hill"
"4",4,4,-73.9709504,40.7661009,"Rent","R4  -ELEVATOR",NA,47.51,"Rent","1 EAST 62 STREET , New York",10065,327,48.2884521323149,"Upper East Side"
"5",5,5,-73.9940025,40.7144635,"Rent","R4  -ELEVATOR",NA,51.52,"Rent","1 ELDRIDGE STREET , New York",10002,533,46.1467041985792,"Lower East Side"
"6",6,6,-74.0033491,40.7315375,"Rent","R4  -ELEVATOR",NA,54.82,"Rent","1 MORTON SQUARE , New York",10014,727,47.3433044848964,"Greenwich Village and Soho"
"7",7,7,-73.9461428,40.8039725,"Rent","R4  -ELEVATOR",NA,23.57,"Rent","1 MT MORRIS PARK WEST , New York",10027,743,32.1442658137882,"Central Harlem"
"8",8,8,-74.0018355,40.732742,"Rent","R4  -ELEVATOR",NA,44.85,"Rent","1 SHERIDAN SQUARE , New York",10014,762,47.3433044848964,"Greenwich Village and Soho"
"9",9,9,-74.0001966,40.7337776,"Rent","R9  -CONDOPS",NA,42.2,"Rent","10 CHRISTOPHER STREET , New York",10014,790,47.3433044848964,"Greenwich Village and Soho"
"10",10,10,-73.9522846,40.7912019,"Rent","RR  -CONRENT",NA,60.82,"Rent","10 EAST 102 STREET , New York",10029,296,36.1083994996549,"East Harlem"
"11",11,11,-73.9937483,40.7342567,"Rent","R4  -ELEVATOR",NA,34.49,"Rent","10 EAST 12 STREET , New York",10003,855,47.6307854516211,"Lower East Side"
"12",12,12,-73.992166,40.7228874,"Rent","D3  -ELEVATOR",NA,42.23,"Rent","10 STANTON STREET , New York",10002,873,46.1467041985792,"Lower East Side"
"13",13,13,-74.0041677,40.7245521,"Rent","R4  -ELEVATOR",NA,94.99,"Rent","10 SULLIVAN STREET , New York",10012,411,49.2700310481868,"Greenwich Village and Soho"
"14",14,14,-73.9896604,40.734866,"Rent","R4  -ELEVATOR",NA,54.71,"Rent","10 UNION SQUARE EAST , New York",10003,784,47.6307854516211,"Lower East Side"
"15",15,15,-73.9369465,40.8147745,"Rent","D1  -ELEVATOR",NA,26.98,"Rent","10 WEST 138 STREET , New York",10037,494,30.4980555555556,"Central Harlem"
"16",16,16,-73.9757944,40.7776497,"Rent","D1  -ELEVATOR",NA,49.52,"Rent","10 WEST 74 STREET , New York",10023,220,48.0819509939898,"Upper West Side"
"17",17,17,-73.9901145,40.7718637,"Rent","R4  -ELEVATOR",NA,47.17,"Rent","10 WEST END AVENUE , New York",10023,254,48.0819509939898,"Upper West Side"
"18",18,18,-73.9886731,40.7190917,"Rent","D7  -ELEVATOR",NA,54.96,"Rent","100 DELANCEY STREET , New York",10002,793,46.1467041985792,"Lower East Side"
"19",19,19,-74.0085526,40.738011,"Rent","D3  -ELEVATOR",NA,49.61,"Rent","100 JANE STREET , New York",10014,354,47.3433044848964,"Greenwich Village and Soho"
"20",20,20,-74.0071976,40.7066745,"Rent","D6  -ELEVATOR",NA,52.57,"Rent","100 MAIDEN LANE , New York",10038,362,48.2096049382716,"Lower Manhattan"
"21",21,21,-73.9870203,40.7186255,"Rent","R4  -ELEVATOR",NA,53.25,"Rent","100 NORFOLK STREET , New York",10002,812,46.1467041985792,"Lower East Side"
"22",22,22,-73.9678483,40.7531669,"Rent","R4  -ELEVATOR",NA,50.65,"Rent","100 UNITED NATIONS PLAZA , New York",10017,370,46.7487965811966,"Gramercy Park and Murray Hill"
"23",23,23,-73.9487622,40.8040587,"Rent","R4  -ELEVATOR",NA,31.43,"Rent","100 WEST 119 STREET , New York",10026,664,32.749269820296,"Central Harlem"
"24",24,24,-73.9771088,40.765173,"Rent","R4  -ELEVATOR",NA,51.84,"Rent","100 WEST 58 STREET , New York",10019,504,50.6850948275862,"Chelsea and Clinton"
"25",25,25,-73.9791976,40.7773747,"Rent","R9  -CONDOPS",NA,42.25,"Rent","100 WEST 72 STREET , New York",10023,452,48.0819509939898,"Upper West Side"
"26",26,26,-73.975298,40.7826377,"Rent","R4  -ELEVATOR",NA,63.88,"Rent","100 WEST 80 STREET , New York",10024,323,43.5819368711326,"Upper West Side"
"27",27,27,-73.9711907,40.7884748,"Rent","R4  -ELEVATOR",NA,44.14,"Rent","100 WEST 89 STREET , New York",10024,353,43.5819368711326,"Upper West Side"
"28",28,28,-73.9696226,40.7908882,"Rent","R4  -ELEVATOR",NA,26.56,"Rent","100 WEST 93 STREET , New York",10025,492,35.2191121286121,"Upper West Side"
"29",29,29,-73.9625835,40.7754227,"Rent","R4  -ELEVATOR",NA,47.47,"Rent","1009 MADISON AVENUE , New York",10075,104,47.3576524390244,"Upper East Side"
"30",30,30,-73.9575883,40.7790932,"Rent","D9  -ELEVATOR",NA,59.6,"Rent","1009 PARK AVENUE , New York",10028,399,47.9785876358696,"Upper East Side"
"31",31,31,-73.9982825,40.7399493,"Rent","R9  -CONDOPS",NA,47.77,"Rent","101 7 AVENUE , New York",10011,787,49.1637557493983,"Chelsea and Clinton"
"32",32,32,-73.9908769,40.7189409,"Rent","R4  -ELEVATOR",NA,35.95,"Rent","101 ALLEN STREET , New York",10002,816,46.1467041985792,"Lower East Side"
"33",33,33,-73.9764504,40.7233269,"Rent","RR  -CONRENT",NA,52.29,"Rent","101 AVENUE D , New York",10009,387,46.233633015873,"Lower East Side"
"34",34,34,-74.0072368,40.7047983,"Rent","R4  -ELEVATOR",NA,54.36,"Rent","101 WALL STREET , New York",10005,184,51.42875,"Lower Manhattan"
"35",35,35,-73.949476,40.80304,"Rent","R9  -CONDOPS",NA,32.27,"Rent","101 WEST 117 STREET , New York",10026,576,32.749269820296,"Central Harlem"
"36",36,36,-73.9762063,40.7815071,"Rent","RR  -CONRENT",NA,30.47,"Rent","101 WEST 78 STREET , New York",10024,339,43.5819368711326,"Upper West Side"
"37",37,37,-73.9748183,40.7835147,"Rent","R9  -CONDOPS",NA,41.23,"Rent","101 WEST 81 STREET , New York",10024,319,43.5819368711326,"Upper West Side"
"38",38,38,-73.9663128,40.7625094,"Rent","R9  -CONDOPS",NA,51.57,"Rent","1010 3 AVENUE , New York",10065,486,48.2884521323149,"Upper East Side"
"39",39,39,-73.9415389,40.8247564,"Rent","R9  -CONDOPS",NA,26.74,"Rent","102 BRADHURST AVENUE , New York",10039,626,29.8734090909091,"Central Harlem"
"40",40,40,-74.0068304,40.7095581,"Rent","R4  -ELEVATOR",NA,40.59,"Rent","102 FULTON STREET , New York",10038,466,48.2096049382716,"Lower Manhattan"
"41",41,41,-73.995422,40.7120545,"Rent","R4  -ELEVATOR",NA,49.22,"Rent","102 MADISON STREET , New York",10002,430,46.1467041985792,"Lower East Side"
"42",42,42,-73.9778147,40.7792483,"Rent","R9  -CONDOPS",NA,43.19,"Rent","102 WEST 75 STREET , New York",10023,392,48.0819509939898,"Upper West Side"
"43",43,43,-73.9838781,40.7258509,"Rent","R4  -ELEVATOR",NA,56.53,"Rent","103 AVENUE A , New York",10009,606,46.233633015873,"Lower East Side"
"44",44,44,-73.9565096,40.7801118,"Rent","D6  -ELEVATOR",NA,54.23,"Rent","103 EAST 86 STREET , New York",10128,458,45.9451660787772,"Upper East Side"
"45",45,45,-73.9921732,40.7444737,"Rent","D6  -ELEVATOR",NA,57.12,"Rent","103 WEST 25 STREET , New York",10001,657,49.5536451719577,"Chelsea and Clinton"
"46",46,46,-73.9753582,40.7830462,"Rent","C1  -WALK-UP",NA,41.65,"Rent","103 WEST 80 STREET , New York",10024,332,43.5819368711326,"Upper West Side"
"47",47,47,-73.971177,40.7888189,"Rent","R4  -ELEVATOR",NA,42.33,"Rent","103 WEST 89 STREET , New York",10024,383,43.5819368711326,"Upper West Side"
"48",48,48,-73.986027,40.7525199,"Rent","R4  -ELEVATOR",NA,59.16,"Rent","1031 6 AVENUE , New York",10018,1517,50.9166666666667,"Chelsea and Clinton"
"49",49,49,-73.961397,40.77197,"Rent","R9  -CONDOPS",NA,49.56,"Rent","1036 LEXINGTON AVENUE , New York",10021,191,48.7826667634533,"Upper East Side"
"50",50,50,-74.0082765,40.7272004,"Rent","R4  -ELEVATOR",NA,38.35,"Rent","104 CHARLTON STREET , New York",10014,236,47.3433044848964,"Greenwich Village and Soho"
"51",51,51,-74.0086966,40.7193308,"Rent","R4  -ELEVATOR",NA,36.39,"Rent","104 HUDSON STREET , New York",10013,270,43.9129747732426,"Greenwich Village and Soho"
"52",52,52,-74.0055679,40.7350409,"Rent","C4  -WALK-UP",NA,42.92,"Rent","104 PERRY STREET , New York",10014,497,47.3433044848964,"Greenwich Village and Soho"
"53",53,53,-74.0082765,40.7159237,"Rent","R4  -ELEVATOR",NA,39.43,"Rent","104 READE STREET , New York",10013,328,43.9129747732426,"Greenwich Village and Soho"
"54",54,54,-74.003208,40.725844,"Rent","C1  -WALK-UP",NA,50.01,"Rent","104 SULLIVAN STREET , New York",10012,543,49.2700310481868,"Greenwich Village and Soho"
"55",55,55,-73.9801351,40.7761017,"Rent","R4  -ELEVATOR",NA,51.69,"Rent","104 WEST 70 STREET , New York",10023,433,48.0819509939898,"Upper West Side"
"56",56,56,-73.9611857,40.7720402,"Rent","R9  -CONDOPS",NA,48.73,"Rent","1040 LEXINGTON AVENUE , New York",10021,195,48.7826667634533,"Upper East Side"
"57",57,57,-73.9844695,40.7303971,"Rent","R4  -ELEVATOR",NA,45.38,"Rent","10430 EAST 12 STREET , New York",10003,669,47.6307854516211,"Lower East Side"
"58",58,58,-73.9598154,40.7810879,"Rent","R4  -ELEVATOR",NA,56.86,"Rent","1049 5 AVENUE , New York",10028,252,47.9785876358696,"Upper East Side"
"59",59,59,-73.987633,40.7323562,"Rent","R4  -ELEVATOR",NA,46.225,"Rent","105 3 AVENUE , New York",10003,852,47.6307854516211,"Lower East Side"
"60",60,60,-73.9345528,40.853943,"Rent","R4  -ELEVATOR",NA,19.46,"Rent","105 BENNETT AVENUE , New York",10033,518,23.9595238095238,"Inwood and Washington Heights"
"61",61,61,-74.0058893,40.7157785,"Rent","D6  -ELEVATOR",NA,66.04,"Rent","105 DUANE STREET , New York",10007,512,46.8389393939394,"Lower Manhattan"
