"","X.1","X","longitude","latitude","Type1","Type2","Type3","Value","Icon","Remark","Zipcode","crime","mean","area"
"62",62,62,-73.9885813,40.7358751,"Rent","R9  -CONDOPS",NA,36.12,"Rent","105 EAST 16 STREET , New York",10003,905,47.6307854516211,"Lower East Side"
"63",63,63,-73.9791232,40.7777946,"Rent","R4  -ELEVATOR",NA,41.15,"Rent","105 WEST 72 STREET , New York",10023,439,48.0819509939898,"Upper West Side"
"64",64,64,-73.9767357,40.7809659,"Rent","R2  -WALK-UP",NA,41.29,"Rent","105 WEST 77 STREET , New York",10024,345,43.5819368711326,"Upper West Side"
"65",65,65,-73.9768275,40.7657011,"Rent","R4  -ELEVATOR",NA,55.45,"Rent","106 CENTRAL PARK SOUTH , New York",10019,473,50.6850948275862,"Chelsea and Clinton"
"66",66,66,-74.0056019,40.7343937,"Rent","C4  -WALK-UP",NA,48.17,"Rent","106 CHARLES STREET , New York",10014,524,47.3433044848964,"Greenwich Village and Soho"
"67",67,67,-73.9527208,40.8171165,"Rent","C1  -WALK-UP",NA,27.22,"Rent","106 CONVENT AVENUE , New York",10027,420,32.1442658137882,"Central Harlem"
"68",68,68,-73.9504707,40.802069,"Rent","R4  -ELEVATOR",NA,34.3,"Rent","106 WEST 116 STREET , New York",10026,697,32.749269820296,"Central Harlem"
"69",69,69,-73.9496212,40.8026999,"Rent","R9  -CONDOPS",NA,27.12,"Rent","106 WEST 117 STREET , New York",10026,624,32.749269820296,"Central Harlem"
"70",70,70,-73.9603894,40.7725092,"Rent","R9  -CONDOPS",NA,51.04,"Rent","1065 LEXINGTON AVENUE , New York",10021,201,48.7826667634533,"Upper East Side"
"71",71,71,-73.9609311,40.7730225,"Rent","R9  -CONDOPS",NA,50.38,"Rent","1068 LEXINGTON AVENUE , New York",10021,182,48.7826667634533,"Upper East Side"
"72",72,72,-73.9839901,40.7260344,"Rent","R4  -ELEVATOR",NA,51.05,"Rent","107 AVENUE A , New York",10009,614,46.233633015873,"Lower East Side"
"73",73,73,-73.9820502,40.7451877,"Rent","R4  -ELEVATOR",NA,54.71,"Rent","107 EAST 31 STREET , New York",10016,677,50.4251235766046,"Gramercy Park and Murray Hill"
"74",74,74,-73.959152,40.776212,"Rent","D3  -ELEVATOR",NA,50.3366666666667,"Rent","107 EAST 80 STREET , New York",10075,299,47.3576524390244,"Upper East Side"
"75",75,75,-73.9930138,40.7136041,"Rent","R4  -ELEVATOR",NA,72.41,"Rent","107 EAST BROADWAY , New York",10002,477,46.1467041985792,"Lower East Side"
"76",76,76,-74.0000137,40.7247295,"Rent","R4  -ELEVATOR",NA,59.2,"Rent","107 GREENE STREET , New York",10012,712,49.2700310481868,"Greenwich Village and Soho"
"77",77,77,-73.9840589,40.7272604,"Rent","D3  -ELEVATOR",NA,48.1016666666667,"Rent","107 ST MARKS PLACE , New York",10009,643,46.233633015873,"Lower East Side"
"78",78,78,-73.9810287,40.7752296,"Rent","D1  -ELEVATOR",NA,47.173,"Rent","107 WEST 68 STREET , New York",10023,418,48.0819509939898,"Upper West Side"
"79",79,79,-73.9745088,40.7842563,"Rent","R9  -CONDOPS",NA,44.13,"Rent","107 WEST 82 STREET , New York",10024,341,43.5819368711326,"Upper West Side"
"80",80,80,-73.9714498,40.7888703,"Rent","R4  -ELEVATOR",NA,43.02,"Rent","107 WEST 89 STREET , New York",10024,381,43.5819368711326,"Upper West Side"
"81",81,81,-73.9672214,40.7936342,"Rent","D3  -ELEVATOR",NA,30.87,"Rent","107 WEST 97 STREET , New York",10025,530,35.2191121286121,"Upper West Side"
"82",82,82,-73.987867,40.732897,"Rent","R4  -ELEVATOR",NA,53.83,"Rent","108 3 AVENUE , New York",10003,854,47.6307854516211,"Lower East Side"
"83",83,83,-73.9930806,40.7372469,"Rent","R4  -ELEVATOR",NA,47.91,"Rent","108 5 AVENUE , New York",10011,916,49.1637557493983,"Chelsea and Clinton"
"84",84,84,-74.0056912,40.7344494,"Rent","C4  -WALK-UP",NA,45.38,"Rent","108 CHARLES STREET , New York",10014,515,47.3433044848964,"Greenwich Village and Soho"
"85",85,85,-74.006489,40.715448,"Rent","R4  -ELEVATOR",NA,48.81,"Rent","108 DUANE STREET , New York",10007,493,46.8389393939394,"Lower Manhattan"
"86",86,86,-73.9428477,40.7988246,"Rent","RR  -CONRENT",NA,41.23,"Rent","108 EAST 116 STREET , New York",10029,814,36.1083994996549,"East Harlem"
"87",87,87,-73.9588281,40.7764536,"Rent","D3  -ELEVATOR",NA,52.1,"Rent","108 EAST 81 STREET , New York",10028,313,47.9785876358696,"Upper East Side"
"88",88,88,-73.9562536,40.7804574,"Rent","R4  -ELEVATOR",NA,45.38,"Rent","108 EAST 87 STREET , New York",10128,457,45.9451660787772,"Upper East Side"
"89",89,89,-73.9520091,40.7860718,"Rent","R9  -CONDOPS",NA,44.98,"Rent","108 EAST 96 STREET , New York",10128,365,45.9451660787772,"Upper East Side"
"90",90,90,-74.0090549,40.7386288,"Rent","D1  -ELEVATOR",NA,54.26,"Rent","108 HORATIO STREET , New York",10014,335,47.3433044848964,"Greenwich Village and Soho"
"91",91,91,-73.953024,40.79901,"Rent","D1  -ELEVATOR",NA,29.5333333333333,"Rent","108 WEST 111 STREET , New York",10026,512,32.749269820296,"Central Harlem"
"92",92,92,-73.9403702,40.816203,"Rent","R4  -ELEVATOR",NA,31.92,"Rent","108 WEST 138 STREET , New York",10030,559,28.0306259259259,"Central Harlem"
"93",93,93,-73.9924795,40.7442999,"Rent","R4  -ELEVATOR",NA,50.65,"Rent","108 WEST 25 STREET , New York",10001,668,49.5536451719577,"Chelsea and Clinton"
"94",94,94,-73.9785493,40.7637655,"Rent","R4  -ELEVATOR",NA,46.69,"Rent","108 WEST 56 STREET , New York",10019,712,50.6850948275862,"Chelsea and Clinton"
"95",95,95,-73.9611663,40.7779148,"Rent","R4  -ELEVATOR",NA,44.23,"Rent","1080 MADISON AVENUE , New York",10028,151,47.9785876358696,"Upper East Side"
"96",96,96,-73.9640628,40.7643504,"Rent","D6  -ELEVATOR",NA,40.8333333333333,"Rent","1081 3 AVENUE , New York",10065,302,48.2884521323149,"Upper East Side"
"97",97,97,-73.9611704,40.7780439,"Rent","R9  -CONDOPS",NA,46.45,"Rent","1082 MADISON AVENUE , New York",10028,192,47.9785876358696,"Upper East Side"
"98",98,98,-73.9625475,40.77162,"Rent","D3  -ELEVATOR",NA,51.12,"Rent","109 EAST 73 STREET , New York",10021,187,48.7826667634533,"Upper East Side"
"99",99,99,-73.9911924,40.7242098,"Rent","R9  -CONDOPS",NA,47.36,"Rent","11 2 AVENUE , New York",10003,789,47.6307854516211,"Lower East Side"
"100",100,100,-73.9826127,40.7495809,"Rent","R4  -ELEVATOR",NA,46.2,"Rent","11 EAST 36 STREET , New York",10016,896,50.4251235766046,"Gramercy Park and Murray Hill"
"101",101,101,-73.9687464,40.76845,"Rent","D3  -ELEVATOR",NA,43.1283333333333,"Rent","11 EAST 66 STREET , New York",10065,42,48.2884521323149,"Upper East Side"
"102",102,102,-73.9676328,40.7694824,"Rent","R4  -ELEVATOR",NA,66.6,"Rent","11 EAST 68 STREET , New York",10065,75,48.2884521323149,"Upper East Side"
"103",103,103,-73.9960189,40.7115984,"Rent","RR  -CONRENT",NA,51.15,"Rent","11 MONROE STREET , New York",10002,306,46.1467041985792,"Lower East Side"
"104",104,104,-73.993836,40.722826,"Rent","R4  -ELEVATOR",NA,35.16,"Rent","11 PRINCE STREET , New York",10012,823,49.2700310481868,"Greenwich Village and Soho"
"105",105,105,-74.0073,40.736131,"Rent","D1  -ELEVATOR",NA,47.8425,"Rent","110 BANK STREET , New York",10014,420,47.3433044848964,"Greenwich Village and Soho"
"106",106,106,-73.9427558,40.7988116,"Rent","RR  -CONRENT",NA,47.76,"Rent","110 EAST 116 STREET , New York",10029,815,36.1083994996549,"East Harlem"
"107",107,107,-73.9893618,40.7330516,"Rent","D5  -ELEVATOR",NA,45.38,"Rent","110 EAST 13 STREET , New York",10003,911,47.6307854516211,"Lower East Side"
"108",108,108,-73.9638791,40.7700346,"Rent","R4  -ELEVATOR",NA,53.79,"Rent","110 EAST 71 STREET , New York",10021,166,48.7826667634533,"Upper East Side"
"109",109,109,-73.9575424,40.7783924,"Rent","D1  -ELEVATOR",NA,51.81,"Rent","110 EAST 84 STREET , New York",10028,414,47.9785876358696,"Upper East Side"
"110",110,110,-74.0135557,40.7086761,"Rent","D8  -ELEVATOR",NA,41.425,"Rent","110 GREENWICH STREET , New York",10006,339,45.53625,"Lower Manhattan"
"111",111,111,-73.9852904,40.7450383,"Rent","RR  -CONRENT",NA,49.46,"Rent","110 MADISON AVENUE , New York",10016,779,50.4251235766046,"Gramercy Park and Murray Hill"
"112",112,112,-73.9206428,40.8647365,"Rent","D1  -ELEVATOR",NA,23.34,"Rent","110 POST AVENUE , New York",10034,590,24.86,"Inwood and Washington Heights"
"113",113,113,-73.9624599,40.80134,"Rent","C4  -WALK-UP",NA,26.26,"Rent","110 WEST 109 STREET , New York",10025,467,35.2191121286121,"Upper West Side"
"114",114,114,-73.972764,40.7863999,"Rent","R4  -ELEVATOR",NA,36.72,"Rent","110 WEST 86 STREET , New York",10024,381,43.5819368711326,"Upper West Side"
"115",115,115,-73.9712029,40.7892637,"Rent","R4  -ELEVATOR",NA,40.28,"Rent","110 WEST 90 STREET , New York",10024,399,43.5819368711326,"Upper West Side"
"116",116,116,-73.9527897,40.7988707,"Rent","R4  -ELEVATOR",NA,37.96,"Rent","111 CENTRAL PARK NORTH , New York",10026,511,32.749269820296,"Central Harlem"
"117",117,117,-73.9825668,40.7444794,"Rent","R4  -ELEVATOR",NA,50.81,"Rent","111 EAST 30 STREET , New York",10016,657,50.4251235766046,"Gramercy Park and Murray Hill"
"118",118,118,-73.9845181,40.7266306,"Rent","D9  -ELEVATOR",NA,52.3,"Rent","111 EAST 7 STREET , New York",10009,640,46.233633015873,"Lower East Side"
"119",119,119,-73.9551546,40.7812544,"Rent","R4  -ELEVATOR",NA,47.75,"Rent","111 EAST 88 STREET , New York",10128,473,45.9451660787772,"Upper East Side"
"120",120,120,-74.0065609,40.7099264,"Rent","R4  -ELEVATOR",NA,45.79,"Rent","111 FULTON STREET , New York",10038,462,48.2096049382716,"Lower Manhattan"
"121",121,121,-73.9518024,40.8006004,"Rent","R4  -ELEVATOR",NA,44.53,"Rent","111 WEST 113 STREET , New York",10026,611,32.749269820296,"Central Harlem"
"122",122,122,-73.9911014,40.7465183,"Rent","R4  -ELEVATOR",NA,38.63,"Rent","111 WEST 28 STREET , New York",10001,1190,49.5536451719577,"Chelsea and Clinton"
"123",123,123,-74.007332,40.709064,"Rent","R4  -ELEVATOR",NA,53.44,"Rent","111 WILLIAM STREET , New York",10038,455,48.2096049382716,"Lower Manhattan"
"124",124,124,-73.960385,40.779214,"Rent","R9  -CONDOPS",NA,46.26,"Rent","1114 MADISON AVENUE , New York",10028,240,47.9785876358696,"Upper East Side"
"125",125,125,-73.9611241,40.7611159,"Rent","RR  -CONRENT",NA,25.64,"Rent","1115 1 AVENUE , New York",10065,285,48.2884521323149,"Upper East Side"
"126",126,126,-73.9881222,40.7359644,"Rent","D1  -ELEVATOR",NA,45.06,"Rent","112 EAST 17 STREET , New York",10003,916,47.6307854516211,"Lower East Side"
"127",127,127,-73.9877204,40.720036,"Rent","R4  -ELEVATOR",NA,41.77,"Rent","112 RIVINGTON STREET , New York",10002,848,46.1467041985792,"Lower East Side"
"128",128,128,-73.9405104,40.8164003,"Rent","D1  -ELEVATOR",NA,31.675,"Rent","112 WEST 138 STREET , New York",10030,574,28.0306259259259,"Central Harlem"
"129",129,129,-73.9793528,40.7773257,"Rent","R4  -ELEVATOR",NA,43.93,"Rent","112 WEST 72 STREET , New York",10023,454,48.0819509939898,"Upper West Side"
"130",130,130,-74.0006557,40.7277034,"Rent","C4  -WALK-UP",NA,37.025,"Rent","112 WEST HOUSTON STREET , New York",10012,749,49.2700310481868,"Greenwich Village and Soho"
"131",131,131,-73.9922083,40.7183574,"Rent","R4  -ELEVATOR",NA,48.75,"Rent","113 ELDRIDGE STREET , New York",10002,747,46.1467041985792,"Lower East Side"
"132",132,132,-73.963458,40.766373,"Rent","D6  -ELEVATOR",NA,47.6928571428571,"Rent","1130 3 AVENUE , New York",10065,73,48.2884521323149,"Upper East Side"
"133",133,133,-73.9891782,40.7330256,"Rent","R4  -ELEVATOR",NA,42.72,"Rent","114 EAST 13 STREET , New York",10003,883,47.6307854516211,"Lower East Side"
"134",134,134,-73.9839442,40.742243,"Rent","R4  -ELEVATOR",NA,46.29,"Rent","114 EAST 27 STREET , New York",10016,638,50.4251235766046,"Gramercy Park and Murray Hill"
"135",135,135,-73.9993166,40.7247485,"Rent","R4  -ELEVATOR",NA,34.65,"Rent","114 GREENE STREET , New York",10012,717,49.2700310481868,"Greenwich Village and Soho"
"136",136,136,-73.9967534,40.7388103,"Rent","D1  -ELEVATOR",NA,44.7916666666667,"Rent","114 WEST 16 STREET , New York",10011,782,49.1637557493983,"Chelsea and Clinton"
"137",137,137,-73.9730625,40.7865002,"Rent","D3  -ELEVATOR",NA,44.3266666666667,"Rent","114 WEST 86 STREET , New York",10024,377,43.5819368711326,"Upper West Side"
"138",138,138,-73.9897661,40.7328931,"Rent","R4  -ELEVATOR",NA,38.9,"Rent","115 4 AVENUE , New York",10003,873,47.6307854516211,"Lower East Side"
"139",139,139,-73.9881462,40.7182566,"Rent","RR  -CONRENT",NA,42.23,"Rent","115 DELANCEY STREET , New York",10002,844,46.1467041985792,"Lower East Side"
"140",140,140,-73.9409648,40.8010629,"Rent","D9  -ELEVATOR",NA,34.64,"Rent","115 EAST 119 STREET , New York",10035,893,30.6497682379349,"East Harlem"
"141",141,141,-73.9889692,40.7323313,"Rent","D5  -ELEVATOR",NA,39.0875,"Rent","115 EAST 12 STREET , New York",10003,861,47.6307854516211,"Lower East Side"
"142",142,142,-73.9636207,40.7702354,"Rent","D1  -ELEVATOR",NA,49.67,"Rent","115 EAST 71 STREET , New York",10021,169,48.7826667634533,"Upper East Side"
"143",143,143,-73.9580934,40.7773906,"Rent","D3  -ELEVATOR",NA,53.375,"Rent","115 EAST 82 STREET , New York",10028,357,47.9785876358696,"Upper East Side"
"144",144,144,-73.9556597,40.7807091,"Rent","R9  -CONDOPS",NA,43.33,"Rent","115 EAST 87 STREET , New York",10128,469,45.9451660787772,"Upper East Side"
"145",145,145,-73.9534096,40.7837833,"Rent","D3  -ELEVATOR",NA,45.56,"Rent","115 EAST 92 STREET , New York",10128,364,45.9451660787772,"Upper East Side"
"146",146,146,-74.0071252,40.7110232,"Rent","R4  -ELEVATOR",NA,57.33,"Rent","115 NASSAU STREET , New York",10038,432,48.2096049382716,"Lower Manhattan"
"147",147,147,-73.987181,40.7192855,"Rent","R4  -ELEVATOR",NA,45.81,"Rent","115 NORFOLK STREET , New York",10002,822,46.1467041985792,"Lower East Side"
"148",148,148,-73.9821879,40.7201639,"Rent","D3  -ELEVATOR",NA,41.72,"Rent","115 PITT STREET , New York",10002,661,46.1467041985792,"Lower East Side"
"149",149,149,-73.9407389,40.815998,"Rent","C1  -WALK-UP",NA,20.95,"Rent","115 WEST 137 STREET , New York",10030,587,28.0306259259259,"Central Harlem"
"150",150,150,-73.996692,40.739269,"Rent","D1  -ELEVATOR",NA,38.2,"Rent","115 WEST 16 STREET , New York",10011,748,49.1637557493983,"Chelsea and Clinton"
"151",151,151,-73.9797199461538,40.7770743769231,"Rent","D3  -ELEVATOR",NA,45.61,"Rent","115 WEST 71 STREET , New York",10023,448,48.0819509939898,"Upper West Side"
"152",152,152,-73.972764,40.7870171,"Rent","D3  -ELEVATOR",NA,41.5866666666667,"Rent","115 WEST 86 STREET , New York",10024,375,43.5819368711326,"Upper West Side"
"153",153,153,-73.9598383,40.7621293,"Rent","R9  -CONDOPS",NA,51.87,"Rent","1152 1 AVENUE , New York",10065,72,48.2884521323149,"Upper East Side"
"154",154,154,-73.9597465,40.7621934,"Rent","R9  -CONDOPS",NA,39.41,"Rent","1154 1 AVENUE , New York",10065,70,48.2884521323149,"Upper East Side"
"155",155,155,-73.96299,40.7671067,"Rent","R9  -CONDOPS",NA,52.65,"Rent","1156 3 AVENUE , New York",10065,104,48.2884521323149,"Upper East Side"
"156",156,156,-73.9772407,40.7657598,"Rent","R4  -ELEVATOR",NA,49.43,"Rent","116 CENTRAL PARK SOUTH , New York",10019,549,50.6850948275862,"Chelsea and Clinton"
"157",157,157,-74.0058924,40.7074594,"Rent","D7  -ELEVATOR",NA,54.11,"Rent","116 JOHN STREET , New York",10038,366,48.2096049382716,"Lower Manhattan"
"158",158,158,-73.9238807,40.8688376,"Rent","D1  -ELEVATOR",NA,25.57,"Rent","116 SEAMAN AVENUE , New York",10034,334,24.86,"Inwood and Washington Heights"
"159",159,159,-73.9980389,40.7374869,"Rent","R4  -ELEVATOR",NA,38.1,"Rent","116 WEST 14 STREET , New York",10011,716,49.1637557493983,"Chelsea and Clinton"
