"","longitude","latitude","Type1","Type2","Type3","Value","Icon","Remark","Zipcode"
"44158",-74.01794,40.70546,"Crime","FELONY","GRAND LARCENY",1,"FELONY","GRAND LARCENY: X1<br/>",10280
"8924",-74.017790213,40.706527512,"Crime","FELONY","THEFT-FRAUD, GRAND LARCENY",2,"FELONY","GRAND LARCENY: X1<br/>THEFT-FRAUD: X1<br/>",10280
"71946",-74.017556217,40.708221068,"Crime","FELONY","GRAND LARCENY",1,"FELONY","GRAND LARCENY: X1<br/>",10280
"31760",-74.0175,40.70924,"Crime","FELONY","GRAND LARCENY, THEFT-FRAUD",2,"FELONY","GRAND LARCENY: X1<br/>THEFT-FRAUD: X1<br/>",10280
"90912",-74.017361769,40.709469964,"Crime","FELONY","GRAND LARCENY",1,"FELONY","GRAND LARCENY: X1<br/>",10280
"62956",-74.01735,40.70716,"Crime","FELONY","THEFT-FRAUD",1,"FELONY","THEFT-FRAUD: X1<br/>",10280
"4713",-74.0172,40.70487,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, THEFT-FRAUD",4,"FELONY","GRAND LARCENY: X3<br/>THEFT-FRAUD: X1<br/>",10280
"74521",-74.017008485,40.71024404,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY OF MOTOR VEHICLE",2,"FELONY","GRAND LARCENY: X1<br/>GRAND LARCENY OF MOTOR VEHICLE: X1<br/>",10280
"86011",-74.016874407,40.70780671,"Crime","FELONY","ROBBERY, GRAND LARCENY",2,"FELONY","GRAND LARCENY: X1<br/>ROBBERY: X1<br/>",10280
"86559",-74.016575512,40.709714364,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY OF MOTOR VEHICLE, THEFT-FRAUD",3,"FELONY","GRAND LARCENY: X1<br/>GRAND LARCENY OF MOTOR VEHICLE: X1<br/>THEFT-FRAUD: X1<br/>",10280
"86561",-74.016514001,40.708937605,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, GRAND LARCENY OF MOTOR VEHICLE, MISCELLANEOUS PENAL LAW, THEFT-FRAUD",5,"FELONY","GRAND LARCENY: X2<br/>GRAND LARCENY OF MOTOR VEHICLE: X1<br/>MISCELLANEOUS PENAL LAW: X1<br/>THEFT-FRAUD: X1<br/>",10280
"1299",-74.016490102,40.714391452,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, CRIMINAL MISCHIEF & RELATED OF, CRIMINAL MISCHIEF & RELATED OF, CRIMINAL MISCHIEF & RELATED OF, CRIMINAL MISCHIEF & RELATED OF, CRIMINAL MISCHIEF & RELATED OF, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY",10,"FELONY","CRIMINAL MISCHIEF & RELATED OF: X5<br/>GRAND LARCENY: X5<br/>",10280
"35087",-74.01635,40.71526,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, THEFT-FRAUD, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, ROBBERY",12,"FELONY","GRAND LARCENY: X10<br/>ROBBERY: X1<br/>THEFT-FRAUD: X1<br/>",10280
"1059",-74.016138938,40.709179198,"Crime","FELONY","THEFT-FRAUD",1,"FELONY","THEFT-FRAUD: X1<br/>",10280
"26510",-74.01609,40.71083,"Crime","FELONY","FELONY ASSAULT, FELONY ASSAULT, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, THEFT-FRAUD, GRAND LARCENY, GRAND LARCENY, NYS LAWS-UNCLASSIFIED FELONY, THEFT-FRAUD, GRAND LARCENY, GRAND LARCENY, THEFT-FRAUD",19,"FELONY","FELONY ASSAULT: X2<br/>GRAND LARCENY: X13<br/>NYS LAWS-UNCLASSIFIED FELONY: X1<br/>THEFT-FRAUD: X3<br/>",10280
"87693",-74.016075402,40.714937718,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, GRAND LARCENY OF MOTOR VEHICLE",3,"FELONY","GRAND LARCENY: X2<br/>GRAND LARCENY OF MOTOR VEHICLE: X1<br/>",10280
"35429",-74.01605,40.71739,"Crime","FELONY","THEFT-FRAUD, GRAND LARCENY, GRAND LARCENY, THEFT-FRAUD",4,"FELONY","GRAND LARCENY: X2<br/>THEFT-FRAUD: X2<br/>",10280
"18053",-74.01577,40.71768,"Crime","FELONY","ROBBERY",1,"FELONY","ROBBERY: X1<br/>",10280
"36351",-74.015671295,40.714542529,"Crime","FELONY","FORGERY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY",12,"FELONY","FORGERY: X1<br/>GRAND LARCENY: X11<br/>",10280
"11351",-74.01553,40.70658,"Crime","FELONY","GRAND LARCENY OF MOTOR VEHICLE",1,"FELONY","GRAND LARCENY OF MOTOR VEHICLE: X1<br/>",10280
"22651",-74.015496559,40.707708092,"Crime","FELONY","GRAND LARCENY",1,"FELONY","GRAND LARCENY: X1<br/>",10280
"1186",-74.01538,40.71584,"Crime","FELONY","ROBBERY",1,"FELONY","ROBBERY: X1<br/>",10280
"78801",-74.01513,40.71125,"Crime","FELONY","CRIMINAL MISCHIEF & RELATED OF, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, POSSESSION OF STOLEN PROPERTY, ROBBERY, ROBBERY, ARSON, CRIMINAL MISCHIEF & RELATED OF, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY",42,"FELONY","ARSON: X1<br/>CRIMINAL MISCHIEF & RELATED OF: X2<br/>GRAND LARCENY: X36<br/>POSSESSION OF STOLEN PROPERTY: X1<br/>ROBBERY: X2<br/>",10280
"85146",-74.01511,40.70756,"Crime","FELONY","BURGLARY, MISCELLANEOUS PENAL LAW",2,"FELONY","BURGLARY: X1<br/>MISCELLANEOUS PENAL LAW: X1<br/>",10280
"26041",-74.01479,40.70835,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY",4,"FELONY","GRAND LARCENY: X4<br/>",10280
"33112",-74.014761184,40.709635013,"Crime","FELONY","GRAND LARCENY",1,"FELONY","GRAND LARCENY: X1<br/>",10280
"60847",-74.014540763,40.707820753,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, GRAND LARCENY",3,"FELONY","GRAND LARCENY: X3<br/>",10280
"65660",-74.014301162,40.717419216,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, THEFT-FRAUD",4,"FELONY","GRAND LARCENY: X3<br/>THEFT-FRAUD: X1<br/>",10280
"66602",-74.01422,40.70866,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, GRAND LARCENY",3,"FELONY","GRAND LARCENY: X3<br/>",10280
"76523",-74.01397,40.70929,"Crime","FELONY","GRAND LARCENY",1,"FELONY","GRAND LARCENY: X1<br/>",10280
"94405",-74.01378,40.70755,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, THEFT-FRAUD",4,"FELONY","GRAND LARCENY: X3<br/>THEFT-FRAUD: X1<br/>",10280
"40837",-74.01359,40.70797,"Crime","FELONY","ROBBERY, DANGEROUS DRUGS, DANGEROUS DRUGS, GRAND LARCENY",4,"FELONY","DANGEROUS DRUGS: X2<br/>GRAND LARCENY: X1<br/>ROBBERY: X1<br/>",10280
"49433",-74.01354,40.71449,"Crime","FELONY","GRAND LARCENY",1,"FELONY","GRAND LARCENY: X1<br/>",10280
"96943",-74.01352,40.70695,"Crime","FELONY","DANGEROUS WEAPONS",1,"FELONY","DANGEROUS WEAPONS: X1<br/>",10280
"42849",-74.01334,40.71524,"Crime","FELONY","GRAND LARCENY",1,"FELONY","GRAND LARCENY: X1<br/>",10282
"47129",-74.01328,40.70788,"Crime","FELONY","GRAND LARCENY, THEFT-FRAUD",2,"FELONY","GRAND LARCENY: X1<br/>THEFT-FRAUD: X1<br/>",10282
"62091",-74.013036977,40.709259189,"Crime","FELONY","GRAND LARCENY",1,"FELONY","GRAND LARCENY: X1<br/>",10282
"76809",-74.012918002,40.709539169,"Crime","FELONY","MISCELLANEOUS PENAL LAW",1,"FELONY","MISCELLANEOUS PENAL LAW: X1<br/>",10282
"87699",-74.012881312,40.706327798,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, THEFT-FRAUD, FELONY ASSAULT, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY",10,"FELONY","FELONY ASSAULT: X1<br/>GRAND LARCENY: X8<br/>THEFT-FRAUD: X1<br/>",10282
"98785",-74.01286,40.71418,"Crime","FELONY","GRAND LARCENY, THEFT-FRAUD",2,"FELONY","GRAND LARCENY: X1<br/>THEFT-FRAUD: X1<br/>",10282
"42209",-74.01275,40.70994,"Crime","FELONY","GRAND LARCENY",1,"FELONY","GRAND LARCENY: X1<br/>",10282
"11710",-74.012443661,40.719066289,"Crime","FELONY","ARSON, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY",4,"FELONY","ARSON: X1<br/>GRAND LARCENY: X3<br/>",10282
"19691",-74.01239,40.70952,"Crime","FELONY","ROBBERY, GRAND LARCENY",2,"FELONY","GRAND LARCENY: X1<br/>ROBBERY: X1<br/>",10282
"25631",-74.01223,40.70712,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, THEFT-FRAUD, CRIMINAL MISCHIEF & RELATED OF, THEFT-FRAUD",5,"FELONY","CRIMINAL MISCHIEF & RELATED OF: X1<br/>GRAND LARCENY: X2<br/>THEFT-FRAUD: X2<br/>",10282
"28741",-74.012180546,40.720328906,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY",2,"FELONY","GRAND LARCENY: X2<br/>",10282
"13877",-74.01217,40.70993,"Crime","FELONY","DANGEROUS DRUGS",1,"FELONY","DANGEROUS DRUGS: X1<br/>",10282
"18361",-74.01211,40.71298,"Crime","FELONY","GRAND LARCENY, THEFT-FRAUD",2,"FELONY","GRAND LARCENY: X1<br/>THEFT-FRAUD: X1<br/>",10280
"42070",-74.01205,40.72134,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, THEFT-FRAUD",3,"FELONY","GRAND LARCENY: X2<br/>THEFT-FRAUD: X1<br/>",10280
"72424",-74.012024243,40.713807371,"Crime","FELONY","MISCELLANEOUS PENAL LAW",1,"FELONY","MISCELLANEOUS PENAL LAW: X1<br/>",10280
"46581",-74.011947354,40.707458742,"Crime","FELONY","CRIMINAL MISCHIEF & RELATED OF",1,"FELONY","CRIMINAL MISCHIEF & RELATED OF: X1<br/>",10280
"56647",-74.01178,40.72234,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, MISCELLANEOUS PENAL LAW, THEFT-FRAUD",8,"FELONY","GRAND LARCENY: X6<br/>MISCELLANEOUS PENAL LAW: X1<br/>THEFT-FRAUD: X1<br/>",10280
"66811",-74.011765032,40.716675673,"Crime","FELONY","GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY, GRAND LARCENY",5,"FELONY","GRAND LARCENY: X5<br/>",10280
